Crop,State,Market,Area,Production,Yield,Milled Production,Rough Production
Corn,Kaduna,2015/2016,"6,771","10,562",1.56,,
Corn,Kaduna,2016/2017,"7,312","11,548",1.58,,
Corn,Kaduna,2017/2018,"6,389","10,632",1.66,,
Corn,Kaduna,2018/2019,"6,541","10,934",1.67,,
Corn,Kaduna,2019/2020,"6,543","12,599",1.93,,
Corn,Kaduna,2020/2021,"6,049","12,400",2.05,,
Corn,Kaduna,2021/2022,"6,205","12,745",2.05,,
Corn,Kaduna,2022/2023,"5,800","12,949",2.23,,
Corn,Kaduna,2023/2024,"5,700","11,053",1.94,,
Corn,Kaduna,2024/2025,"5,500","11,200",2.04,,
Corn,Kaduna,2025/2026,"5,800","12,000",2.07,,
Corn,Kaduna,5-year Average 2020/21 - 2024/25,"5,851","12,069",2.06,,
Corn,Kaduna,Percent Change From 5 Year Average (%),-1,-1,0,,
Corn,Kaduna,Record,"7,312","12,949",2.23,,
Corn,Kaduna,Record Year,2016/2017,2022/2023,2022/2023,,
Corn,Niger,2015/2016,"6,771","10,562",1.56,,
Corn,Niger,2016/2017,"7,312","11,548",1.58,,
Corn,Niger,2017/2018,"6,389","10,632",1.66,,
Corn,Niger,2018/2019,"6,541","10,934",1.67,,
Corn,Niger,2019/2020,"6,543","12,599",1.93,,
Corn,Niger,2020/2021,"6,049","12,400",2.05,,
Corn,Niger,2021/2022,"6,205","12,745",2.05,,
Corn,Niger,2022/2023,"5,800","12,949",2.23,,
Corn,Niger,2023/2024,"5,700","11,053",1.94,,
Corn,Niger,2024/2025,"5,500","11,200",2.04,,
Corn,Niger,2025/2026,"5,800","12,000",2.07,,
Corn,Niger,5-year Average 2020/21 - 2024/25,"5,851","12,069",2.06,,
Corn,Niger,Percent Change From 5 Year Average (%),-1,-1,0,,
Corn,Niger,Record,"7,312","12,949",2.23,,
Corn,Niger,Record Year,2016/2017,2022/2023,2022/2023,,
Corn,Borno,2015/2016,"6,771","10,562",1.56,,
Corn,Borno,2016/2017,"7,312","11,548",1.58,,
Corn,Borno,2017/2018,"6,389","10,632",1.66,,
Corn,Borno,2018/2019,"6,541","10,934",1.67,,
Corn,Borno,2019/2020,"6,543","12,599",1.93,,
Corn,Borno,2020/2021,"6,049","12,400",2.05,,
Corn,Borno,2021/2022,"6,205","12,745",2.05,,
Corn,Borno,2022/2023,"5,800","12,949",2.23,,
Corn,Borno,2023/2024,"5,700","11,053",1.94,,
Corn,Borno,2024/2025,"5,500","11,200",2.04,,
Corn,Borno,2025/2026,"5,800","12,000",2.07,,
Corn,Borno,5-year Average 2020/21 - 2024/25,"5,851","12,069",2.06,,
Corn,Borno,Percent Change From 5 Year Average (%),-1,-1,0,,
Corn,Borno,Record,"7,312","12,949",2.23,,
Corn,Borno,Record Year,2016/2017,2022/2023,2022/2023,,
Corn,Plateau,2015/2016,"6,771","10,562",1.56,,
Corn,Plateau,2016/2017,"7,312","11,548",1.58,,
Corn,Plateau,2017/2018,"6,389","10,632",1.66,,
Corn,Plateau,2018/2019,"6,541","10,934",1.67,,
Corn,Plateau,2019/2020,"6,543","12,599",1.93,,
Corn,Plateau,2020/2021,"6,049","12,400",2.05,,
Corn,Plateau,2021/2022,"6,205","12,745",2.05,,
Corn,Plateau,2022/2023,"5,800","12,949",2.23,,
Corn,Plateau,2023/2024,"5,700","11,053",1.94,,
Corn,Plateau,2024/2025,"5,500","11,200",2.04,,
Corn,Plateau,2025/2026,"5,800","12,000",2.07,,
Corn,Plateau,5-year Average 2020/21 - 2024/25,"5,851","12,069",2.06,,
Corn,Plateau,Percent Change From 5 Year Average (%),-1,-1,0,,
Corn,Plateau,Record,"7,312","12,949",2.23,,
Corn,Plateau,Record Year,2016/2017,2022/2023,2022/2023,,
Corn,Taraba,2015/2016,"6,771","10,562",1.56,,
Corn,Taraba,2016/2017,"7,312","11,548",1.58,,
Corn,Taraba,2017/2018,"6,389","10,632",1.66,,
Corn,Taraba,2018/2019,"6,541","10,934",1.67,,
Corn,Taraba,2019/2020,"6,543","12,599",1.93,,
Corn,Taraba,2020/2021,"6,049","12,400",2.05,,
Corn,Taraba,2021/2022,"6,205","12,745",2.05,,
Corn,Taraba,2022/2023,"5,800","12,949",2.23,,
Corn,Taraba,2023/2024,"5,700","11,053",1.94,,
Corn,Taraba,2024/2025,"5,500","11,200",2.04,,
Corn,Taraba,2025/2026,"5,800","12,000",2.07,,
Corn,Taraba,5-year Average 2020/21 - 2024/25,"5,851","12,069",2.06,,
Corn,Taraba,Percent Change From 5 Year Average (%),-1,-1,0,,
Corn,Taraba,Record,"7,312","12,949",2.23,,
Corn,Taraba,Record Year,2016/2017,2022/2023,2022/2023,,
Corn,Primary ~80% Production,2015/2016,"6,771","10,562",1.56,,
